LUPS_J70273_1_ST_T0_B0_0000_0A31901_APATP_L001.clean.dehost.fasta.gz	LUPS_J70274_1_ST_T0_B0_0000_0A31902_APATP_L001.clean.dehost.fasta.gz	LUPS_J70275_1_ST_T0_B0_0000_0A31903_APATP_L001.clean.dehost.fasta.gz	LUPS_J70276_1_ST_T0_B0_0000_0A31904_APATP_L001.clean.dehost.fasta.gz	LUPS_J70277_1_ST_T0_B0_0000_0A31905_APATP_L001.clean.dehost.fasta.gz	LUPS_J70278_1_ST_T0_B0_0000_0A31906_APATP_L001.clean.dehost.fasta.gz	LUPS_J70279_1_ST_T0_B0_0000_0A31907_APATP_L001.clean.dehost.fasta.gz	LUPS_J70280_1_ST_T0_B0_0000_0A31908_APATP_L001.clean.dehost.fasta.gz	LUPS_J70281_1_ST_T0_B0_0000_0A31909_APATP_L001.clean.dehost.fasta.gz	LUPS_J70282_1_ST_T0_B0_0000_0A31910_APATP_L001.clean.dehost.fasta.gz	LUPS_J70283_1_ST_T0_B0_0000_0A31921_APATP_L001.clean.dehost.fasta.gz	LUPS_J70284_1_ST_T0_B0_0000_0A31922_APATP_L001.clean.dehost.fasta.gz	LUPS_J70285_1_ST_T0_B0_0000_0A31923_APATP_L001.clean.dehost.fasta.gz	LUPS_J70286_1_ST_T0_B0_0000_0A31924_APATP_L001.clean.dehost.fasta.gz	LUPS_J70287_1_ST_T0_B0_0000_0A31925_APATP_L001.clean.dehost.fasta.gz	LUPS_J70288_1_ST_T0_B0_0000_0A31926_APATP_L001.clean.dehost.fasta.gz	LUPS_J70289_1_ST_T0_B0_0000_0A31927_APATP_L001.clean.dehost.fasta.gz	LUPS_J70290_1_ST_T0_B0_0000_0A31928_APATP_L001.clean.dehost.fasta.gz	LUPS_J70291_1_ST_T0_B0_0000_0A31929_APATP_L001.clean.dehost.fasta.gz	LUPS_J70292_1_ST_T0_B0_0000_0A31930_APATP_L001.clean.dehost.fasta.gz
OTU_131	12	6	1	4	16	1	0	7	0	8	0	0	0	0	0	0	0	0	0	0
OTU_117	9	1	1	31	7	2	7	2	7	0	8	10	8	8	11	6	18	4	6	6
OTU_168	11	12	5	7	14	10	17	23	24	7	12	5	12	0	11	25	32	13	32	21
OTU_120	17	5	31	3	13	0	0	3	0	1	9	0	1	0	1	1	0	1	1	2
OTU_38	4	3	0	25	9	14	137	4	22	7	3	2	11	0	15	0	0	0	0	0
OTU_71	22	2	1	27	10	2	1	5	0	3	60	17	9	19	4	7	2	0	36	8
OTU_112	19	0	35	23	9	3	1	3	8	3	1	3	1	0	0	0	0	0	0	0
OTU_123	3	1	10	2	12	1	3	2	2	0	5	13	21	14	4	3	7	2	3	14
OTU_102	8	1	4	3	4	2	0	3	11	2	11	1	29	62	2	1	18	0	5	3
OTU_51	6	1	3	1	1	2	1	0	0	0	33	22	55	14	17	8	30	3	5	7
OTU_172	10	1	5	2	3	2	2	8	2	3	9	14	18	13	4	10	13	4	18	2
OTU_153	6	4	0	0	1	0	0	8	0	0	2	0	0	0	5	0	0	0	7	4
OTU_94	15	2	22	5	2	0	2	1	3	0	1	1	0	0	0	1	2	0	2	0
OTU_18	19	35	21	9	35	16	25	26	21	25	0	35	7	0	67	24	10	10	11	3
OTU_163	11	2	26	11	5	2	1	6	4	1	14	1	5	10	3	1	0	0	3	7
OTU_6	4	17	3	6	13	105	61	44	22	22	3	138	2	24	817	584	901	287	268	48
OTU_79	11	2	21	6	7	5	5	5	3	7	0	10	16	3	7	7	7	3	11	3
OTU_64	22	4	71	8	33	1	0	3	9	4	31	2	13	61	1	1	2	2	5	11
OTU_48	10	6	14	4	4	55	30	14	10	12	2	15	2	0	5	5	0	16	31	8
OTU_36	18	29	27	5	35	40	52	12	36	103	0	0	13	0	0	1	0	81	0	17
OTU_130	4	4	1	0	3	2	13	8	2	2	1	2	1	0	0	2	2	1	5	0
OTU_92	5	5	1	2	2	9	0	3	1	1	14	14	4	40	3	7	23	2	7	3
OTU_37	14	10	2	1	0	56	26	9	25	29	7	3	2	1	46	2	105	2	1	0
OTU_62	20	1	9	2	7	4	25	11	6	17	0	0	1	0	2	0	0	2	1	0
OTU_59	2	2	107	2	2	0	0	2	0	4	124	4	8	77	7	9	2	2	5	13
OTU_84	2	0	30	1	4	0	0	3	3	0	1	26	2	0	3	0	12	0	3	3
OTU_166	9	1	15	5	2	0	0	2	0	1	0	3	1	3	0	0	10	0	0	0
OTU_47	4	0	1	11	0	1	0	0	0	0	17	19	7	205	9	0	25	0	0	0
OTU_165	1	0	7	3	0	1	3	1	6	1	11	4	3	3	0	2	2	2	12	9
OTU_21	11	6	14	2	2	0	2	5	5	0	34	26	55	29	30	27	35	26	47	23
OTU_88	7	0	3	8	11	0	0	0	0	0	0	12	1	1	2	2	8	1	0	7
OTU_104	8	5	23	1	7	1	3	1	10	7	5	3	6	0	6	9	6	9	10	8
OTU_132	14	10	47	8	19	0	5	23	21	0	162	21	25	84	15	21	17	8	20	92
OTU_54	7	13	4	5	8	6	7	10	2	14	14	14	24	7	33	21	27	12	15	11
OTU_58	17	2	29	1	3	5	2	10	1	2	13	14	24	16	6	2	20	1	5	1
OTU_87	2	0	11	0	1	1	4	5	1	0	3	5	6	4	15	6	9	1	5	3
OTU_65	3	2	0	0	3	2	0	6	9	6	0	15	0	0	13	7	25	1	25	1
OTU_158	2	1	1	0	3	0	0	0	0	1	0	0	1	0	0	0	6	0	0	0
OTU_96	4	0	0	0	1	1	1	3	3	0	0	0	65	3	23	32	0	7	53	76
OTU_70	6	1	3	2	0	11	7	6	2	0	3	12	2	0	6	0	4	0	10	1
OTU_80	2	3	3	9	1	26	19	17	14	9	0	0	0	0	0	0	0	0	0	0
OTU_108	4	0	4	0	1	4	2	4	0	1	7	3	2	0	5	4	9	0	3	4
OTU_137	2	0	1	5	1	1	0	2	3	0	4	3	1	0	3	7	1	0	3	1
OTU_72	9	10	0	1	9	15	113	15	18	6	2	12	14	0	16	12	29	9	5	6
OTU_27	11	0	4	3	7	6	15	15	7	4	16	21	5	22	36	14	10	1	31	36
OTU_113	9	1	54	6	2	0	1	0	6	0	71	0	0	0	6	0	0	0	0	1
OTU_176	2	1	1	1	0	2	3	2	0	2	1	4	0	0	5	1	1	2	2	0
OTU_40	1	0	24	15	0	14	12	42	93	6	234	0	19	2	38	33	1	4	34	55
OTU_182	1	0	1	0	0	0	0	1	2	0	2	11	1	0	2	2	0	1	1	1
OTU_69	16	1	4	0	1	2	0	1	2	4	0	9	33	8	5	2	5	3	2	2
OTU_119	5	1	1	1	0	1	14	0	9	1	1	3	2	0	0	0	0	0	10	4
OTU_189	6	1	8	1	0	1	2	0	0	0	2	0	1	0	1	0	0	0	3	0
OTU_178	3	0	12	1	6	0	0	2	5	0	2	0	9	3	3	1	0	0	2	0
OTU_185	5	0	12	11	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0
OTU_122	4	0	38	8	4	0	2	4	4	4	0	2	1	19	3	4	1	2	4	3
OTU_22	15	3	293	23	14	3	6	1	4	5	274	28	4	143	21	10	29	1	8	19
OTU_124	2	0	3	0	6	2	4	0	2	0	2	2	2	6	1	1	2	0	0	5
OTU_186	4	1	1	4	0	3	0	9	0	0	3	2	1	1	5	1	1	0	1	0
