	domain	phylum	class	order	family	genus
OTU165	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
OTU166	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto
OTU167	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae
OTU168	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
OTU169	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU170	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU171	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU172	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU173	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Robinsoniella
OTU174	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU175	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU176	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetatifactor
OTU177	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae
OTU178	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales
OTU179	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU180	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	"unclassified_""Bacteroidales"""	"unclassified_""Bacteroidales"""
OTU181	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU182	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	unclassified_Desulfovibrionaceae
OTU183	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Enterorhabdus
OTU184	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU185	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU186	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XIII	Anaerovorax
OTU187	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter
OTU188	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU189	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU190	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
OTU191	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU192	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU193	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto
OTU194	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	unclassified_Enterobacteriaceae
OTU195	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU196	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter
OTU197	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU198	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter
OTU199	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium XI
OTU200	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae
OTU201	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU202	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU203	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter
OTU204	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto
OTU205	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU206	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae
OTU207	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	"unclassified_""Bacteroidales"""	"unclassified_""Bacteroidales"""
OTU208	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU209	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU210	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae
OTU211	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
OTU212	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
